Total time;Compute time;Path length;Expanded nodes;Memory usage
0,0726031;0,0721344;508;29486;148488
0,1615716;0,1613964;536;64441;146184
0,0765484;0,0763776;572;37821;62304
0,1701486;0,1699082;522;55880;70496
0,1559275;0,1557129;540;60202;70496
0,2997148;0,2995716;568;113339;146184
0,1412396;0,14111;554;63898;70496
0,0559683;0,0558266;508;24826;70496
0,215301;0,2151551;604;78723;146184
0,1749328;0,1748124;542;71224;146184
0,0903215;0,0901529;526;42332;146184
0,1013352;0,1011644;540;42296;70496
0,1544184;0,1543151;508;64728;70496
0,0889211;0,0888148;508;40800;146184
0,0641582;0,0640339;508;32561;146184
0,2942131;0,2940663;614;127225;146184
0,1166057;0,1165066;550;52233;70496
0,1532843;0,153143;540;69883;146184
0,3460808;0,3459085;714;135437;146184
0,2982478;0,2981125;568;123477;146184
0,1015532;0,1014172;518;44610;70496
0,129837;0,1296833;532;55730;146184
0,0593982;0,0592731;514;27215;146184
0,0970542;0,0968841;540;42899;146184
0,2025042;0,2023461;536;80903;146184
0,1135872;0,1134049;540;47391;146184
0,1306514;0,130506;550;58549;146184
0,1809107;0,1807839;514;74567;146184
0,1239113;0,1236703;514;55118;146184
0,1683362;0,1681828;540;66444;146184
0,2841765;0,2840106;540;100452;146184
0,0760975;0,0759362;508;37111;146184
0,11579;0,1156636;586;50043;70496
0,2653105;0,2651546;616;115922;146184
0,2495126;0,2493619;572;106516;146184
0,1361698;0,1360367;508;62257;146184
0,1897442;0,1896247;540;80857;146184
0,2671981;0,2670455;602;103233;145464
0,1413148;0,1411967;522;58127;146184
0,1932378;0,1930891;540;89456;146184
0,1410506;0,1409212;546;65294;146184
0,7380125;0,7378236;750;285885;146184
0,3240207;0,3238821;554;129932;146184
0,4190377;0,4188588;544;160052;146184
0,0934166;0,0932171;508;34495;129800
0,0894472;0,0892836;508;33970;146184
0,1625251;0,1623859;530;79611;146184
0,1033484;0,103181;568;43762;69352
0,0455932;0,0454388;508;20204;69184
0,1657016;0,1655756;508;68356;146184
0,0660862;0,06597;508;31886;129800
0,0473284;0,0472095;508;21913;70496
0,0946185;0,0944956;536;43158;129800
0,056872;0,0567277;508;24857;129800
0,1241543;0,1239979;508;55608;146184
0,146758;0,1466071;530;60090;70496
0,1698142;0,1697195;508;70087;146184
0,1014077;0,1012762;568;45772;146184
0,1326068;0,1324322;572;59279;146184
0,1877796;0,1876537;572;82092;129800
0,1378694;0,1377409;540;60795;146184
0,2762317;0,2760773;600;125085;70496
0,2188554;0,2186748;674;80120;70496
0,0967411;0,0965709;540;41830;129800
0,2405112;0,2403147;596;109255;70496
0,1573391;0,1571911;508;64558;70496
0,1219471;0,1217988;550;52082;146184
0,1059103;0,1057705;530;47296;146184
0,073099;0,0729548;508;35886;146184
0,1600931;0,159976;508;68711;146184
0,1501151;0,1499746;522;57424;70496
0,2793781;0,2792247;540;116772;129800
0,1650746;0,1649227;520;71452;146184
0,2760646;0,2758877;694;116983;137992
0,1186752;0,1185682;536;50933;129800
0,2283629;0,2282399;568;93455;146184
0,1624865;0,1622758;590;61898;146184
0,263511;0,2633219;582;100958;129800
0,2224628;0,2222901;632;98874;146184
0,1254087;0,1252714;540;59096;146184
0,1475197;0,1473932;558;57859;146184
0,2383825;0,2382622;540;102062;146184
0,1813284;0,1812095;578;86415;146184
0,1172894;0,117079;540;44563;70496
0,1532948;0,1531421;508;66445;146184
0,2773488;0,2772254;522;113592;146184
0,1289373;0,1288073;540;64278;146184
0,2379643;0,2378213;540;96749;129800
0,3179903;0,3178166;622;132684;146184
0,1492953;0,1491472;572;67496;129800
0,287585;0,2874134;594;126241;146184
0,0669239;0,066774;536;32328;70496
0,3808631;0,3806824;690;148166;146184
0,193825;0,1937143;572;85777;146184
0,1423568;0,1422301;510;60842;146184
0,2003602;0,2002267;586;92896;70496
0,1926113;0,1924629;540;91411;146184
0,0639801;0,0638502;522;29588;70496
0,0997263;0,0995955;508;42605;146184
0,0680138;0,0678959;522;35441;70496
