Total time;Compute time;Path length;Memory usage
2,091455;2,091091;1020;621648
1,0796984;1,0793046;1020;301312
1,4883004;1,4878586;1116;301312
2,8612283;2,8608043;1122;621648
2,0488281;2,0484533;1052;301312
0,791342;0,7909499;1052;301312
2,5570183;2,5565899;1130;301312
0,9200382;0,9196402;1080;301312
0,5594575;0,5590315;1134;301312
0,9460215;0,9455902;1122;301312
1,2832755;1,2829121;1052;621648
0,7543408;0,7539493;1084;301312
1,1604128;1,1600269;1104;621648
1,7515575;1,7511121;1212;301312
0,9063104;0,9059106;1116;301312
1,7554264;1,7550138;1122;301312
1,0845921;1,0841774;1052;621648
0,8533982;0,8529691;1020;301312
1,5396584;1,5392118;1098;621648
1,6610672;1,6606286;1150;301312
1,1582595;1,1578351;1052;621648
2,0953015;2,094895;1148;301312
0,6422628;0,6418389;1052;301312
1,1128276;1,1124221;1052;621648
1,4965173;1,4960987;1144;621648
0,4196377;0,4192237;1052;301312
1,332867;1,332478;1080;621648
0,4527213;0,4523516;1020;301312
0,4247138;0,4243195;1020;621648
1,4553236;1,4549541;1084;621648
0,5971227;0,5967442;1062;301312
1,8899285;1,88953;1136;621648
0,9333196;0,9329012;1126;301312
0,6926924;0,6922544;1148;301312
1,7332122;1,7327939;1052;621648
0,55776;0,5573509;1038;301312
0,4311103;0,4307341;1058;301312
1,2353728;1,2349937;1052;621648
0,2084747;0,2080865;1020;301312
2,1496874;2,1492931;1116;621648
1,0416245;1,0412448;1020;621648
0,8153448;0,8149657;1020;621648
0,5172573;0,5168789;1020;301312
0,9619996;0,9616302;1066;301312
1,457758;1,4573308;1116;621648
0,7950146;0,7946298;1020;301312
0,5420483;0,5416305;1034;301312
2,3491435;2,3486861;1154;301312
1,2495893;1,2491995;1052;301312
1,5750532;1,5746238;1180;621648
0,7226328;0,7221981;1052;621648
1,8298213;1,8294554;1052;301312
1,9629163;1,9625125;1178;301312
0,3335991;0,3331589;1020;301312
1,2647831;1,2643911;1080;301312
0,4211921;0,4207922;1020;301312
1,4493934;1,4489749;1094;301312
2,3029185;2,3024747;1112;621648
1,3271406;1,3267316;1020;621648
2,1823829;2,181983;1208;301312
0,5612189;0,5608256;1020;301312
0,8891348;0,8887674;1020;621648
0,6424518;0,6420691;1020;301312
0,8856709;0,8852676;1052;301312
0,7133575;0,712931;1084;301312
1,6864293;1,6860025;1124;621648
0,8387082;0,8382795;1118;301312
1,9067082;1,9062581;1142;621648
1,2855802;1,2851817;1052;301312
0,6332269;0,632815;1070;301312
0,3464085;0,3459766;1020;301312
1,0039214;1,0035156;1084;621648
0,8465241;0,8461103;1072;621648
0,8284035;0,8279938;1082;621648
1,4997528;1,4993368;1084;301312
1,1656783;1,1652656;1158;301312
1,8904011;1,8899697;1218;301312
0,291367;0,2909757;1052;301312
0,611507;0,6110891;1084;301312
1,4634119;1,4629935;1084;301312
0,8159813;0,8154975;1106;621648
0,6232323;0,6227997;1124;301312
1,0924246;1,0919925;1070;366848
1,8435688;1,8431367;1102;621648
1,529595;1,5291935;1020;621648
0,8590832;0,8586999;1066;301312
0,41592;0,4155269;1052;301312
0,9356036;0,9351929;1050;301312
1,2563132;1,2558349;1084;301312
0,8275823;0,8272122;1084;366848
0,7740913;0,7737101;1052;301312
1,1546212;1,1542484;1062;301312
0,9973129;0,9969348;1020;366848
1,4786754;1,478258;1116;301312
0,7447182;0,744307;1052;621648
1,0649699;1,0645525;1150;621648
0,6963063;0,6959288;1072;301312
1,2421875;1,2418006;1052;621648
0,9467601;0,9463299;1158;301312
0,3555804;0,3552108;1052;301312
