Total time;Compute time;Path length;Memory usage
0,7036942;0,7034916;284;5816
0,721712;0,7216129;284;4344
0,6988947;0,6988026;284;4344
0,7136373;0,7135211;284;4344
0,7106273;0,7105085;284;4344
0,7166564;0,7165275;284;4344
0,7263476;0,7262115;284;4344
0,7226337;0,7224873;284;4344
0,7540424;0,7538593;284;4344
0,7174658;0,7173418;284;4344
0,6892809;0,6891933;284;4344
0,6945918;0,6944991;284;4344
0,6840793;0,6839128;284;4344
0,6832185;0,6831424;284;4344
0,6833738;0,6832889;284;4344
0,6859961;0,6859144;284;4344
0,6902368;0,6901434;284;4344
0,6986232;0,6985079;284;4344
0,7070101;0,706898;284;4344
0,7027089;0,7026025;284;232
0,7385753;0,7384201;284;4344
0,698788;0,6986902;284;4344
0,6790702;0,678989;284;4344
0,6793655;0,6792854;284;4344
0,6857088;0,6856272;284;4344
0,6890285;0,6889347;284;4344
0,6901752;0,6900911;284;4344
0,6850346;0,6849552;284;4344
0,6981848;0,6980873;284;4344
0,6895922;0,6895104;284;4344
0,6880668;0,6879882;284;4344
0,6934236;0,6933401;284;4344
0,699627;0,6995356;284;4344
0,6864383;0,6863472;284;4344
0,6910338;0,6909416;284;4344
0,6895127;0,6894296;284;4344
0,6850012;0,6849163;284;4344
0,6859136;0,6858208;284;4344
0,6832881;0,6832099;284;4344
0,6833832;0,6832953;284;4344
0,6940891;0,6939998;284;4344
0,681594;0,6815157;284;4344
0,6860687;0,6859794;284;4344
0,6904589;0,6903732;284;4344
0,6822069;0,6821256;284;4344
0,6900448;0,6899577;284;4344
0,6902806;0,690177;284;4344
0,6974293;0,6973319;284;4344
0,761205;0,7609404;284;4344
0,7115573;0,7114468;284;4344
0,8767244;0,8764052;284;4344
0,94506;0,9447234;284;4344
0,7285188;0,7283677;284;4344
0,7040967;0,7039924;284;4344
0,718416;0,7182979;284;4344
0,7310375;0,7308851;284;4344
0,7319475;0,7318001;284;4344
0,7217255;0,7215981;284;4344
0,7474596;0,7472868;284;4344
0,704654;0,704549;284;4344
0,7241261;0,7240151;284;4344
0,688888;0,6888044;284;4344
0,7345521;0,7343749;284;4344
0,8926371;0,8924449;284;4344
0,7217835;0,7216766;284;4344
0,7235885;0,7234439;284;4344
0,7124912;0,7123412;284;4344
0,7034656;0,7033663;284;4344
0,6984284;0,6983268;284;4344
0,6899346;0,6898385;284;4344
0,6938278;0,6937316;284;4344
0,6912328;0,6911423;284;4344
0,6824844;0,6824051;284;4344
0,6856929;0,6856104;284;4344
0,6986839;0,6985808;284;4344
0,695319;0,695211;284;4344
0,7470042;0,7468231;284;4344
0,7859218;0,7857584;284;4344
0,7000435;0,6999411;284;4344
0,7692824;0,769063;284;4344
0,7570873;0,7568997;284;4344
0,7047943;0,7047039;284;4344
0,7098758;0,7097776;284;4344
0,7119878;0,7118696;284;4344
0,7019705;0,7018838;284;4344
0,6991524;0,6990601;284;4344
0,6959248;0,6958261;284;4344
0,6999741;0,699875;284;4344
0,7135187;0,7133805;284;4344
0,7239877;0,723847;284;4344
0,715604;0,7154461;284;4344
0,7716449;0,7714268;284;4344
0,7205402;0,7204082;284;4344
0,7202017;0,7200757;284;4344
0,7011837;0,7010817;284;4344
0,7581267;0,7578895;284;4344
0,7165952;0,716488;284;4344
0,6959537;0,6958603;284;4344
0,6835791;0,6834938;284;4344
0,6938711;0,6937747;284;4344
