Total time;Compute time;Path length;Memory usage
0,0334717;0,0331641;284;17576
0,0309965;0,0309254;284;16208
0,0312283;0,0311672;284;16208
0,0291684;0,029127;284;16208
0,0293201;0,029268;284;16208
0,0296771;0,0296307;284;16208
0,0330958;0,0330331;284;16208
0,0294542;0,0294098;284;16208
0,0303227;0,0302605;284;16208
0,0296421;0,0295961;284;16208
0,0294994;0,0294543;284;16208
0,0287848;0,0287421;284;16208
0,0308341;0,0307826;284;16208
0,0299957;0,0299484;284;16208
0,0296689;0,0296105;284;16208
0,029486;0,0294434;284;16208
0,02826;0,0282124;284;16208
0,0296754;0,0296243;284;16208
0,0295533;0,0294991;284;16208
0,0290537;0,0289888;284;16208
0,0294045;0,0293554;284;16208
0,0291667;0,0291173;284;16208
0,0282505;0,028206;284;16208
0,0309862;0,0309284;284;16208
0,0302395;0,0301899;284;16208
0,0301799;0,0301344;284;16208
0,029786;0,0297351;284;16208
0,0308231;0,0307741;284;16208
0,0294395;0,0293903;284;16208
0,0278855;0,0278449;284;16208
0,0298823;0,0297671;284;16208
0,0287866;0,0287387;284;16208
0,030023;0,0299684;284;16208
0,0297051;0,0296557;284;16208
0,0306007;0,0305362;284;16208
0,0290416;0,0289942;284;16208
0,0294711;0,02941;284;16208
0,0295043;0,0294588;284;16208
0,0298335;0,0297677;284;16208
0,0313875;0,0313349;284;16208
0,029462;0,0294161;284;16208
0,028978;0,0289334;284;16208
0,0303462;0,0302847;284;16208
0,0292414;0,029197;284;16208
0,0296435;0,0295941;284;16208
0,0303037;0,0302271;284;16208
0,0298626;0,0298034;284;16208
0,0287815;0,0287264;284;16208
0,0305417;0,030479;284;16208
0,0313826;0,0313155;284;16208
0,0304432;0,0303884;284;16208
0,0296843;0,0295924;284;16208
0,0301649;0,030108;284;16208
0,0286108;0,0285649;284;16208
0,0295459;0,0294925;284;16208
0,029013;0,0289731;284;16208
0,0296916;0,0296222;284;16208
0,0285414;0,0284964;284;16208
0,0297781;0,0297225;284;16208
0,0300074;0,0299439;284;16208
0,032109;0,0320172;284;16208
0,0298783;0,0298259;284;16208
0,0311815;0,0311176;284;16208
0,0291651;0,0291154;284;16208
0,030021;0,0299714;284;16208
0,0301474;0,0300822;284;16208
0,0301539;0,0301053;284;16208
0,0315306;0,0314712;284;16208
0,0298924;0,0298385;284;16208
0,0300782;0,0300163;284;16208
0,0302319;0,0301693;284;16208
0,0291289;0,0290673;284;16208
0,0283531;0,0282984;284;16208
0,0289311;0,028876;284;16208
0,0315796;0,0314696;284;16208
0,0296467;0,029579;284;16208
0,0296231;0,0295806;284;16208
0,0299138;0,0298595;284;16208
0,0291677;0,0291103;284;16208
0,0307541;0,0306871;284;16208
0,029377;0,0293282;284;16208
0,0296352;0,0295892;284;16208
0,029697;0,0296514;284;16208
0,0284773;0,0284338;284;16208
0,0288317;0,0287827;284;16208
0,0308954;0,0308097;284;16208
0,0301965;0,0301029;284;16208
0,0303889;0,0303149;284;16208
0,0311016;0,0310455;284;16208
0,0316555;0,0315948;284;16208
0,0289032;0,0288524;284;16208
0,0291677;0,0291233;284;16208
0,0310878;0,0310102;284;16208
0,0292676;0,0292226;284;16208
0,028834;0,0287889;284;16208
0,0303755;0,0303194;284;16208
0,0299772;0,0299016;284;16208
0,0297139;0,0296573;284;16208
0,0284945;0,0284431;284;16208
0,028899;0,0288399;284;16208
