Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,1072673;72,8147;29;2,510851724137931;332;29672
0,2759868;205,3708;87;2,360583908045977;962;72681
0,0631532;21,3447;41;0,5206024390243902;454;16799
0,0720891;22,0017;36;0,6111583333333334;406;21400
0,1359449;98,7679;39;2,5325102564102564;442;45021
0,080943;45,5535;51;0,8932058823529412;574;16932
0,0997973;69,6923;56;1,2445053571428573;626;23691
0,1347944;105,4554;42;2,510842857142857;466;35766
0,1064765;75,3817;32;2,355678125;354;29844
0,0183806;2,1231;32;0,066346875;360;2265
0,0993044;61,8017;46;1,3435152173913043;516;23304
0,2350709;184,7477;75;2,463302666666667;836;68108
0,0956836;67,5035;31;2,1775322580645162;348;26977
0,0303445;14,4308;32;0,4509625;362;3612
0,0260833;12,2313;33;0,3706454545454545;374;4285
0,3665554;310,7477;84;3,699377380952381;934;108085
0,07029;42,7554;44;0,9717136363636364;492;15503
0,1243815;82,3547;47;1,752227659574468;530;36042
0,034817;21,1107;32;0,659709375;356;8148
0,0635741;42,8711;50;0,857422;564;17331
0,0566134;30,2571;34;0,889914705882353;384;14727
0,0425596;19,6183;41;0,47849512195121957;464;9230
0,0477003;0,1199;38;0,003155263157894737;430;6843
0,0996752;65,3799;34;1,9229382352941178;384;29163
0,0526851;23,0294;34;0,677335294117647;380;12009
0,1245357;97,996;40;2,4499;450;37133
0,0493278;19,1412;27;0,7089333333333334;304;10348
0,0179788;5,4933;33;0,16646363636363634;368;3043
0,1094368;75,1458;45;1,6699066666666664;502;31415
0,0645084;33,8377;53;0,6384471698113208;594;12192
0,0486863;14,864;35;0,42468571428571433;398;10571
0,0583209;42,0211;33;1,2733666666666665;374;15745
0,0814812;44,6409;43;1,038160465116279;480;17039
0,047674;27,7587;33;0,8411727272727273;376;14128
0,1059725;67,0469;43;1,5592302325581393;482;30023
0,0225367;10,5882;30;0,35294000000000003;342;4680
0,0297938;12,0487;36;0,33468611111111113;406;6223
0,1669078;101,7353;44;2,312165909090909;488;51203
0,0308268;7,5699;33;0,2293909090909091;378;4183
0,0572128;25,5035;40;0,6375875;454;10772
0,0551211;27,7933;39;0,7126487179487179;434;13748
0,0550334;4,2378;36;0,11771666666666666;406;7944
0,041883;17,9198;34;0,5270529411764705;378;8163
0,1015747;65,3615;29;2,253844827586207;332;30013
0,0202115;5,3008;32;0,16565;362;3357
0,0191855;6,4693;30;0,21564333333333333;334;3439
0,0878128;63,205;44;1,4364772727272728;494;19864
0,0426432;24,2483;44;0,5510977272727273;492;11296
0,1349351;89,5134;47;1,904540425531915;526;39610
0,0615907;41,762;40;1,04405;450;15896
0,0272169;12,9124;35;0,3689257142857143;388;5910
0,085749;53,6712;36;1,4908666666666666;408;16732
0,0703256;34,1737;38;0,899307894736842;428;17232
0,1790667;130,8945;65;2,013761538461538;722;47516
0,0453374;23,266;38;0,6122631578947368;428;10322
0,0806541;60,2259;42;1,43395;468;19382
0,1587195;102,8364;46;2,235573913043478;520;46599
0,0731796;44,2815;33;1,3418636363636365;374;19143
0,0996808;79,8269;40;1,9956725;448;31231
0,0857267;40,5738;41;0,9896048780487805;456;20908
0,2551769;166,5003;70;2,3785757142857142;776;72476
0,0621392;40,2869;30;1,3428966666666668;334;17012
0,0286982;9,3083;32;0,290884375;364;4920
0,0375264;16,0813;37;0,4346297297297297;418;4665
0,0761895;53,0444;41;1,2937658536585366;458;18610
0,1580731;84,5551;52;1,6260596153846154;588;33053
0,3130578;270,7917;43;6,297481395348837;480;99785
0,0407878;13,4379;31;0,43348064516129037;350;9272
0,0820395;25,5487;38;0,6723342105263158;432;18742
0,0440302;15,2317;30;0,5077233333333333;340;10781
0,0427193;20,6084;42;0,4906761904761905;474;8600
0,1101041;62,87;58;1,0839655172413794;650;24899
0,1076694;79,3848;46;1,7257565217391304;516;25930
0,1029119;52,087;32;1,62771875;358;24435
0,1072025;59,4817;44;1,351856818181818;490;25706
0,026214;4,8022;43;0,11167906976744187;488;3557
0,1272629;106,1668;52;2,0416692307692306;578;37819
0,026808;14,2684;35;0,40766857142857144;394;6381
0,0451636;13,3665;39;0,3427307692307692;440;7487
0,0764304;48,1814;36;1,338372222222222;400;16221
0,4420232;382,7882;58;6,599796551724138;644;138731
0,0788111;45,9852;37;1,2428432432432432;414;22431
0,0617017;36,2386;33;1,098139393939394;374;17271
0,2267652;192,9157;48;4,019077083333333;538;63718
0,0571617;16,1225;28;0,5758035714285714;316;14947
0,1421384;116,1809;45;2,5817977777777776;504;38030
0,0194166;5,0102;34;0,14735882352941176;380;2538
0,0727464;44,2937;49;0,9039530612244898;544;9008
0,0324711;14,0936;31;0,4546322580645161;344;7389
0,0139767;3,068;30;0,10226666666666667;340;1723
0,0798265;26,6786;38;0,7020684210526316;430;10848
0,0829013;56,3626;34;1,6577235294117647;382;19873
0,1130401;85,3709;55;1,552198181818182;614;32090
0,1083124;65,4378;63;1,0386952380952381;706;27061
0,0544183;30,4049;39;0,7796128205128205;440;13294
0,040603;16,0292;33;0,4857333333333333;366;10077
0,4288773;330,7495;83;3,984933734939759;918;129042
0,0455634;9,1939;29;0,3170310344827586;332;8343
0,081879;64,6894;47;1,3763702127659576;524;20513
0,1379224;112,0875;64;1,7513671875;716;40402
