Total time (s);Total recompute time (ms);Amount of recomputes;Path length;Expanded nodes
2,6119003;2452,3823;231;976;519396
1,9901179;1854,2716;171;724;487242
0,8622462;723,73;164;698;209639
0,5777873;519,1268;162;686;147234
1,5712895;1415,7594;184;780;395346
0,9192393;816,5406;143;608;242131
0,6380141;557,9775;169;718;157318
0,479115;381,5311;153;650;112887
0,2634855;177,7596;144;612;47604
0,1290963;81,7456;129;548;25131
0,5795765;490,2558;162;684;136610
0,3208038;229,7023;129;550;79803
0,7815737;718,3017;167;708;220214
1,0138883;911,7908;148;628;262667
1,4682966;1293,439;176;742;369231
1,2709676;1172,8556;166;704;346573
0,5965131;528,2365;133;568;163422
1,3007127;1179,8799;181;766;356775
0,3684221;318,3556;165;698;95088
0,851639;736,2091;166;704;219752
0,7527199;627,5562;157;664;188948
3,4835551;3313,4007;213;902;990615
0,4733447;417,4593;143;606;122556
0,6587429;562,3613;167;712;176136
1,3693689;1275,7332;186;788;386993
0,7789911;669,871;154;654;189857
0,2507406;174,2362;126;538;55102
1,0796088;964,7356;175;744;289494
1,1676674;1076,4144;146;618;339691
1,5850121;1480,9254;196;832;448613
0,8751945;764,6299;196;828;227391
0,7727687;685,7024;184;782;212583
0,9057152;793,1854;144;614;241652
0,8998741;765,5242;161;684;238625
2,2690868;2146,0676;219;926;649775
0,1109324;52,2129;130;552;19335
1,390906;1238,7757;196;832;383768
1,3769202;1287,8616;151;642;402516
0,801749;656,568;181;768;176400
1,1888953;1099,763;159;680;324880
0,3362173;243,5865;147;626;59249
0,6803234;535,4301;142;602;151306
0,6373344;552,8106;146;620;166406
1,1575008;1051,5816;186;790;334584
0,5849264;497,0689;150;636;146077
1,5311446;1425,6766;222;944;430601
1,7677017;1624,3676;258;1092;487680
1,5661795;1429,5419;226;958;454084
1,9787861;1846,2075;203;862;558008
0,4397851;304,2574;163;694;98182
0,616724;554,062;158;672;158892
0,6261901;530,3476;168;714;153380
2,1240488;1968,3556;221;936;603274
0,4767667;352,5283;171;724;124722
0,4610609;383,0834;186;788;122245
2,0809109;1942,7424;244;1032;611266
0,6803166;598,7712;147;628;174806
0,2519042;195,7619;155;658;56669
0,5676718;456,7979;148;630;137945
0,6483263;562,857;211;894;182368
1,0787013;953,7577;232;980;305420
0,8796426;784,9623;157;666;225345
0,6109635;524,2255;178;754;149059
0,2399015;176,2818;132;560;46187
0,3553328;284,6912;124;528;77066
1,6787249;1539,6707;156;658;426969
0,3278711;122,4359;134;570;56709
0,3961981;329,4537;146;620;82987
0,9877424;891,3914;163;692;259203
0,4831631;392,0825;158;672;117615
0,9383353;782,1469;191;804;224031
2,0260607;1900,1238;173;736;567546
0,2296446;147,3505;150;636;49691
0,547358;476,7544;174;740;139520
1,1069181;916,7514;143;606;268610
1,5034738;1375,9733;151;644;390154
0,1962452;85,052;147;626;28407
0,2030873;141,6695;156;658;40674
0,2818452;198,2808;164;696;68768
1,5564358;1360,0077;194;822;393469
1,0618579;913,4172;158;670;283253
0,9155859;755,8429;158;668;245879
0,3675064;290,2924;156;660;89690
0,9153076;743,0239;138;584;228727
2,6492417;2502,4965;162;686;750815
1,7530949;1636,4276;184;780;475463
0,9100605;781,0992;192;814;235578
0,7074906;608,9185;148;628;176046
1,924482;1764,5663;199;842;497561
0,7886196;711,2052;163;690;201820
0,3918501;316,0075;158;668;89504
0,2798748;209,8792;129;550;60653
1,0623036;943,2414;188;794;256099
0,6775999;589,6002;149;632;163335
0,3551968;214,7036;139;592;60399
0,4528458;375,5149;161;680;120252
1,811126;1654,0808;192;818;469756
0,7951458;694,5411;184;778;206681
0,7873891;643,4428;164;698;189622
0,4373309;311,0966;143;608;96429
