Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,0158222;2,7663;26;0,10639615384615385;288;1224
0,0143972;3,2697;26;0,1257576923076923;290;1330
0,014243;2,8577;26;0,10991153846153846;288;1340
0,0153586;5,4641;25;0,218564;278;2154
0,0153879;4,854;26;0,18669230769230769;288;1830
0,015072;3,4534;25;0,13813599999999998;288;1474
0,0128981;0,0074;26;0,0002846153846153846;290;375
0,0178786;7,3864;25;0,295456;280;2664
0,0212174;6,782;25;0,27128;278;2517
0,0165816;6,0724;25;0,242896;282;2195
0,0111521;1,0266;26;0,03948461538461538;290;673
0,0110821;0,0072;26;0,0002769230769230769;290;375
0,0170075;7,4089;25;0,296356;286;2812
0,0155287;0,8397;26;0,03229615384615385;290;618
0,0133491;1,0941;26;0,042080769230769234;292;703
0,0145757;3,0339;26;0,11668846153846155;288;1356
0,0127834;1,1289;26;0,04341923076923077;292;691
0,0168654;5,4514;25;0,21805599999999997;282;2049
0,0137621;0,0072;26;0,0002769230769230769;288;365
0,013909;3,4109;26;0,13118846153846153;288;1428
0,0116759;0,0073;26;0,00028076923076923076;290;375
0,0174512;6,4171;26;0,24681153846153844;294;2368
0,0121641;2,0417;25;0,081668;284;1033
0,0128885;2,472;26;0,09507692307692307;294;1120
0,0112874;0,7427;25;0,029708000000000002;280;536
0,0187975;5,5295;25;0,22118;282;2082
0,0285444;1,1847;25;0,047388000000000007;286;746
0,0122647;1,2596;26;0,04844615384615385;290;779
0,0148659;2,2157;26;0,08521923076923077;288;1068
0,0155118;5,5371;25;0,221484;286;2055
0,0118027;1,6317;26;0,0627576923076923;290;926
0,0154601;4,4118;26;0,1696846153846154;294;1674
0,0184489;3,5289;25;0,141156;284;1465
0,0162274;2,7391;26;0,10535;288;1238
0,0121931;1,163;26;0,044730769230769234;288;698
0,0109468;0,3613;25;0,014452;284;458
0,0123127;1,6044;25;0,064176;288;852
0,0135396;3,1665;26;0,12178846153846154;294;1288
0,0114426;0,3727;26;0,014334615384615383;292;468
0,0134846;2,2858;26;0,08791538461538462;290;1083
0,0118974;0,0076;26;0,0002923076923076923;290;375
0,0123611;1,885;26;0,0725;294;990
0,0126401;2,2819;26;0,0877653846153846;288;1060
0,0129493;0,0068;26;0,00026153846153846154;290;375
0,0121668;0,0074;26;0,0002846153846153846;290;375
0,0134405;0,0069;26;0,00026538461538461536;288;373
0,0149144;4,3343;26;0,16670384615384615;294;1755
0,0120578;1,1192;26;0,043046153846153845;292;689
0,0147762;3,8925;26;0,14971153846153845;290;1526
0,0123767;0,9728;25;0,038912;280;654
0,0114931;0,0063;26;0,0002423076923076923;290;381
0,0168835;6,2991;26;0,24227307692307692;296;2442
0,0138806;3,9751;25;0,159004;284;1562
0,0135967;3,2876;28;0,11741428571428571;312;1329
0,018736;8,1478;26;0,3133769230769231;290;3057
0,0123243;1,9529;25;0,078116;286;976
0,0135384;1,7646;25;0,070584;278;938
0,0140482;1,7216;25;0,068864;280;894
0,0125504;2,4696;26;0,09498461538461538;294;1068
0,0115219;0,0256;26;0,0009846153846153846;290;384
0,0112936;0,0066;25;0,000264;286;364
0,0130664;1,3587;25;0,054348;284;777
0,013546;3,4216;26;0,1316;288;1443
0,0191708;7,9462;26;0,30562307692307694;290;3025
0,0121587;1,5701;26;0,060388461538461544;292;836
0,0119484;1,6551;26;0,0636576923076923;290;899
0,0129871;1,2847;26;0,04941153846153846;288;780
0,0165235;3,9374;26;0,15143846153846152;294;1518
0,0122121;1,1407;26;0,043873076923076924;296;678
0,0131749;0,0057;25;0,000228;284;353
0,0142195;2,9461;26;0,11331153846153846;292;1400
0,0122778;0,0078;26;0,0003;290;376
0,0111771;0,0069;26;0,00026538461538461536;290;375
0,0110967;0,007;26;0,0002692307692307692;290;375
0,0111103;0,0187;25;0,0007480000000000001;284;382
0,0128226;0,0081;26;0,0003115384615384615;290;375
0,0132041;0,0063;26;0,0002423076923076923;290;379
0,0107418;0,267;25;0,01068;280;413
0,0115952;0,0062;26;0,00023846153846153847;290;378
0,0167904;3,7123;26;0,14278076923076924;294;1516
0,0107157;0,0064;25;0,000256;282;365
0,012711;0,887;25;0,03548;284;620
0,0132221;1,5907;26;0,06118076923076923;290;820
0,0138437;2,4444;26;0,09401538461538461;288;1129
0,0112803;0,0071;26;0,0002730769230769231;290;375
0,0125754;0,5097;26;0,019603846153846156;294;541
0,0164846;2,7235;26;0,10475;288;1167
0,0162575;4,8616;26;0,1869846153846154;294;1880
0,012248;0,0085;26;0,00032692307692307697;288;356
0,0114928;0,0073;25;0,000292;284;377
0,0116074;0,0069;25;0,000276;284;377
0,0141815;0,0087;26;0,0003346153846153846;290;375
0,0132921;1,6217;26;0,06237307692307692;292;830
0,0130352;2,7063;25;0,108252;282;1166
0,0131744;2,1497;26;0,08268076923076924;290;977
0,0115183;0,0073;26;0,00028076923076923076;290;375
0,0147186;2,8985;27;0,10735185185185185;298;1302
0,0129545;2,146;26;0,08253846153846153;292;1013
0,0119011;0,6501;26;0,025003846153846154;292;546
0,0163815;6,5999;26;0,2538423076923077;288;2531
