Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
1,4529069;1429,6847;81;17,650428395061727;902;1035685
0,5287128;521,6347;68;7,671098529411764;760;430339
1,8230757;1766,258;113;15,630601769911506;1256;1498731
0,9896683;944,5316;71;13,303261971830986;788;807637
0,9619967;954,6895;84;11,36535119047619;938;772484
2,7019989;2661,8713;133;20,014069924812027;1476;2178910
0,6564926;616,7505;66;9,344704545454546;736;503849
1,1934249;1138,2059;81;14,051924691358025;900;939541
0,8011186;790,9686;95;8,325985263157895;1054;676958
0,6651226;626,8401;81;7,738766666666667;904;565765
1,3429085;1280,2055;83;15,42416265060241;922;1099571
1,0783963;1066,7543;77;13,853951948051948;860;870975
0,5077976;493,0541;58;8,50093275862069;654;400933
0,7959014;749,8977;61;12,293404918032786;686;637000
0,6708735;660,2764;66;10,004187878787878;736;539826
1,5365653;1465,9207;103;14,232239805825241;1138;1262746
0,8795002;857,1586;83;10,32721204819277;926;718225
1,2928958;1266,3265;87;14,555477011494252;962;1063956
0,5973893;563,6283;55;10,247787272727273;616;513142
1,1692052;1145,6685;80;14,32085625;894;969949
0,9521522;923,2493;79;11,6867;874;780847
0,9268628;913,4296;66;13,839842424242425;736;752377
0,6919369;682,1742;82;8,31919756097561;912;583426
0,5068294;497,3474;70;7,104962857142857;776;432115
1,1841933;1155,2237;80;14,44029625;892;966968
0,7797389;724,0417;65;11,139103076923076;718;633242
1,2286394;1208,0283;125;9,6642264;1384;1057490
0,7744269;722,8489;52;13,900940384615383;578;630594
0,9296728;906,73;110;8,243;1222;805548
1,019634;1013,4819;78;12,993357692307692;866;845070
0,7842139;766,4969;96;7,984342708333333;1068;669447
1,1231897;1111,4497;92;12,080974999999999;1024;936550
1,8770428;1825,3176;94;19,41827234042553;1048;1515160
1,9944514;1952,4534;113;17,278348672566374;1248;1681027
1,3327162;1263,3726;85;14,863207058823528;946;1096202
0,4880268;479,3782;72;6,6580305555555555;802;426685
1,5759375;1511,3717;73;20,703721917808217;808;1270043
1,3780775;1355,3081;97;13,972248453608247;1076;1142422
1,3869929;1367,3018;75;18,230690666666668;838;1115920
0,6051002;573,7783;75;7,650377333333332;838;502191
0,4949534;446,8019;52;8,59234423076923;586;405520
0,8612475;837,6818;83;10,092551807228915;928;719462
0,770646;726,1587;65;11,171672307692306;722;631096
1,722925;1687,176;106;15,916754716981131;1182;1436354
1,2619915;1201,5861;105;11,443677142857142;1162;1049513
0,7492855;731,9612;74;9,891367567567567;830;636165
1,2757846;1265,9817;117;10,82035641025641;1300;1059806
0,493025;486,0463;66;7,364337878787879;738;422006
2,6095893;2596,8168;136;19,09424117647059;1508;2120619
0,7023765;689,971;64;10,780796875;712;561213
0,7187735;651,5825;82;7,946128048780488;906;595651
0,5683915;549,9817;62;8,870672580645161;686;461109
1,0816126;1039,7393;108;9,62721574074074;1202;909460
0,8885733;873,0425;77;11,338214285714287;854;737826
0,7601735;748,614;75;9,98152;834;641404
0,8688889;843,256;86;9,805302325581396;960;730914
1,1303475;1055,6245;69;15,298905797101447;772;896713
1,1081159;1062,6753;69;15,401091304347828;764;885987
0,6946183;669,4026;72;9,297258333333334;804;591627
