Total time (s);Average recompute time (ms);Path length;Expanded nodes
8,8820922;11,027104975124379;804;7294841
3,3182955;6,104424444444445;540;2834911
9,501675;13,418494334277622;706;7398287
14,6734212;23,104966930379746;632;11306035
7,2322425;9,710505241935483;744;6146750
7,9986348;12,371484112149533;642;6494969
12,0562584;17,026440509915012;706;9428591
6,9588086;10,106503362573099;684;5709582
6,3043461;9,234707817109145;678;5377018
2,7421673;4,757128321678322;572;2428707
6,358531;11,10278006993007;572;5130854
2,5491187;4,932727058823529;510;2215793
9,8742821;10,45258237791932;942;8215149
6,2626446;10,354638245033113;604;5072247
8,3023379;15,28895185185185;540;6799081
19,8514384;15,561428963893249;1274;17096710
6,4947395;9,033077855153204;718;5428326
9,877798;16,25954056291391;604;8058363
10,0612944;12,794297448979592;784;8121795
4,7824816;7,493748113207547;636;4261952
12,7454866;16,094786202531647;790;10889343
11,360722;15,534301095890411;730;9511361
16,8534774;19,435160416666665;864;13357685
8,6241001;11,75663319672131;732;7284010
9,0118448;12,479323955431754;718;7291134
7,4179647;12,260518543046357;604;5907330
7,1610001;11,79273857615894;604;5766300
3,5811587;6,165062020905924;574;2976965
7,0102469;11,592512417218542;604;6024389
3,6917835;6,809027222222222;540;3078023
9,5806757;15,893038333333333;600;7773699
11,1219919;13,948927386934674;796;9466058
5,8490964;9,279602243589745;624;4952999
11,1488691;17,157138699690403;646;8883047
10,9335445;11,711111290322581;930;9525449
2,2914759;4,0772844642857144;560;2093827
3,0716419;5,661491851851851;540;2687402
11,7799538;17,777461782477342;662;9316304
6,9675216;10,951098101265822;632;5632250
9,3979735;14,008051946107784;668;7894241
5,561433;9,186961754966887;604;4760236
6,6073198;11,466053310104531;574;5246182
6,9435952;11,07044967948718;624;5806087
17,6461629;21,89017276119403;804;13644798
6,9575592;10,568501524390244;656;5448923
9,2356077;11,770183503836316;782;7274970
15,4643478;19,079811881188117;808;12032003
6,2373662;10,059052750809062;618;5309444
8,6366484;9,594053452115812;898;7439974
6,2192857;7,801680150753769;796;5390283
11,7138358;11,92570469387755;980;9965527
8,5406038;12,572564201183432;676;7011168
11,3713997;18,51999656862745;612;9312729
12,40561;16,94990384615385;728;10020219
13,026131;20,38488962264151;636;10000138
8,7751857;12,334572957746479;710;7317320
9,0223516;15,635542682926829;574;7044501
6,4843566;10,769001337792641;598;5115711
8,4466234;13,890676821192054;604;6700151
16,9318143;17,068114646464647;990;14357753
13,8177388;15,517011738148984;886;11189623
7,4613623;12,98771486013986;572;6329252
11,0038212;14,339151566579634;766;9364110
2,4846876;4,429344982078853;558;2246495
2,2590892;3,991416843971631;564;2092375
8,2096838;12,643359907120743;646;6568384
1,970713;3,635110740740741;540;1766136
4,5791192;6,624418658892129;686;3921017
9,3277492;14,477797663551403;642;7760353
12,981891;19,437065915915916;666;10687348
7,3951788;10,027495652173913;736;6223170
11,8750777;18,755232857142857;630;9646708
8,2305211;11,930011191860466;688;7013877
4,6402157;7,265153301886792;636;4078734
3,1874672;5,54114527972028;572;2845502
5,1461897;7,453142419825073;686;4434097
5,2929904;9,150637587412588;572;4150651
3,3476477;6,5515665354330705;508;2833842
7,2325031;8,922288613861387;808;6153994
6,125983;9,114377994011976;668;5305574
2,4392866;4,511608550185874;538;2226977
5,767591;8,830553384615385;650;5086136
7,8742319;12,128630340557276;646;6398200
7,7133936;12,14193924050633;632;6207362
14,271756;19,0920735924933;746;11796115
9,5542104;13,008426775956284;732;8006412
7,9481741;11,044920949720671;716;6851723
7,6196987;13,85272098540146;548;6183894
10,4380333;13,136100505050505;792;8381908
10,7118871;15,75822448377581;678;8708235
4,0376821;6,466818709677419;620;3489186
6,8579485;12,61077962962963;540;5603613
5,5112651;7,303561569148936;752;4737445
4,3446685;6,786948584905661;636;3701552
3,7595126;6,377908732876712;584;3272702
5,4609036;9,945682116788321;548;4543797
9,5673885;12,169876530612244;784;7945098
7,3294185;11,484184119496856;636;6131219
3,7041004;5,990262866449512;614;3162797
4,248675;7,014778166666667;600;3667718
