Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,0406355;35,3595;23;1,537369565217391;254;25146
0,027424;24,0157;23;1,0441608695652174;254;23438
0,0381957;36,5352;23;1,5884869565217392;254;23674
0,0311645;27,4497;23;1,1934652173913043;254;24427
0,0325553;25,7735;22;1,171522727272727;254;26872
0,0278396;25,3199;22;1,1509045454545455;254;23678
0,0291508;26,7485;23;1,1629782608695651;254;23341
0,0448453;41,885;23;1,8210869565217391;254;28843
0,0248093;21,7789;23;0,946908695652174;254;23389
0,0247551;22,3686;23;0,9725478260869566;254;20417
0,0298326;28,0317;23;1,2187695652173913;254;26724
0,0274981;26,1406;23;1,1365478260869566;254;23917
0,023374;21,1731;23;0,9205695652173914;254;22427
0,0255967;23,0233;22;1,0465136363636363;254;22844
0,0300279;25,784;23;1,1210434782608696;254;26015
0,024376;22,7652;22;1,0347818181818182;254;22128
0,0324231;23,9162;23;1,0398347826086956;254;28251
0,0229131;19,5101;23;0,8482652173913044;254;22822
0,0246576;22,8092;23;0,991704347826087;254;22600
0,0225301;19,4081;23;0,8438304347826088;254;22497
0,02379;22,3542;22;1,0161;254;22810
0,022184;19,993;22;0,9087727272727272;254;20625
0,0255654;23,7054;23;1,0306695652173914;254;24939
0,0247973;22,8856;22;1,0402545454545455;254;21899
0,0223297;20,2666;23;0,8811565217391305;254;22255
0,0380464;34,3205;23;1,4921956521739133;254;23116
0,0231105;20,0193;23;0,870404347826087;254;22041
0,02197;20,0039;23;0,8697347826086957;254;22306
0,0268272;22,9359;23;0,9972130434782609;254;23980
0,0231063;20,3553;23;0,8850130434782608;254;22657
0,0325134;28,7048;23;1,2480347826086955;254;29050
0,0205261;19,1596;23;0,8330260869565218;254;21402
0,0256803;23,5288;22;1,069490909090909;254;24684
0,02499;23,6456;23;1,0280695652173915;256;25392
0,0265571;25,2976;23;1,099895652173913;254;25906
0,0255713;22,314;23;0,9701739130434782;254;26399
0,0240143;21,7301;22;0,9877318181818182;254;24257
0,024141;21,9961;23;0,9563521739130434;254;23894
0,0240481;22,1407;23;0,9626391304347826;254;23681
0,0271399;24,3838;23;1,0601652173913043;254;27643
0,0216008;19,2758;23;0,8380782608695653;254;21967
0,0241597;22,717;23;0,987695652173913;254;23985
0,0289439;23,0012;23;1,0000521739130435;254;28402
0,0251631;21,8952;22;0,9952363636363636;256;25432
0,0216017;20,1401;23;0,8756565217391304;254;22348
0,0227578;20,5217;22;0,9328045454545454;254;20272
0,0213102;18,3864;22;0,8357454545454545;254;22046
0,0249954;21,7061;23;0,9437434782608696;254;25672
0,0239936;21,8951;23;0,9519608695652174;254;24545
0,0280073;24,3854;23;1,0602347826086957;254;28795
0,0227326;20,3175;23;0,8833695652173913;254;20503
0,0223857;20,4121;22;0,9278227272727272;254;22685
0,0265139;23,8865;22;1,08575;254;25256
0,0240851;21,7869;23;0,9472565217391304;254;23010
0,0300747;27,8335;23;1,2101521739130434;254;26561
0,0225223;20,2186;23;0,8790695652173912;254;23230
0,0265467;23,7601;22;1,0800045454545455;254;24668
0,0230115;21,0951;23;0,9171782608695651;254;23474
0,0328129;29,0257;23;1,2619869565217392;254;25813
0,0232529;21,0066;22;0,9548454545454544;254;21600
0,0218919;19,4055;22;0,8820681818181818;254;20521
0,0291422;24,1031;23;1,0479608695652174;254;25569
0,0236368;21,3807;23;0,929595652173913;254;21500
0,0298597;26,9484;23;1,1716695652173912;254;24838
0,0224882;19,8328;22;0,901490909090909;254;21383
0,0252594;23,8146;23;1,0354173913043478;254;23097
0,026597;24,9744;22;1,1352;254;24900
0,0234812;21,1553;23;0,919795652173913;254;22366
0,0230808;21,2976;23;0,9259826086956522;254;21966
0,0253104;23,0928;22;1,0496727272727273;254;25120
0,0279975;24,9244;23;1,0836695652173913;254;24845
0,0275997;25,0751;23;1,0902217391304347;254;24959
0,0276827;23,2283;22;1,0558318181818183;254;25564
0,0234784;21,4069;23;0,9307347826086957;254;24084
0,025692;23,5992;22;1,0726909090909091;254;24236
0,0275567;25,2098;23;1,0960782608695652;254;25977
0,0238583;22,1742;22;1,0079181818181817;254;23111
0,0264448;22,1488;22;1,0067636363636365;254;24301
0,0316627;29,6816;23;1,290504347826087;254;31846
0,0255876;23,2119;22;1,0550863636363637;256;23186
0,0207776;19,3182;23;0,8399217391304348;260;20766
0,0230998;20,4537;22;0,9297136363636365;254;23323
0,0219221;19,8643;23;0,8636652173913043;254;22773
0,0205162;18,131;22;0,8241363636363637;254;21124
0,0270273;24,4954;22;1,1134272727272727;254;26673
0,0283839;26,3042;22;1,1956454545454547;254;27579
0,0263832;24,9726;23;1,0857652173913044;254;27152
0,0207463;18,0897;22;0,8222590909090909;254;20854
0,0296302;27,2481;22;1,23855;254;27252
0,0240385;22,2515;22;1,0114318181818183;254;24764
0,0253469;23,2731;23;1,0118739130434782;254;24061
0,0214387;19,823;23;0,8618695652173913;254;22552
0,0243361;22,0179;22;1,0008136363636364;254;22509
0,0251508;22,2665;23;0,968108695652174;254;24837
0,0236967;22,0435;23;0,958413043478261;254;22336
0,0234843;19,8745;23;0,864108695652174;254;23857
0,0251117;21,4408;23;0,9322086956521739;254;24052
0,0242066;22,1901;23;0,9647869565217392;254;24458
0,0242278;20,2288;22;0,919490909090909;254;22918
0,0256828;21,996;22;0,9998181818181817;254;23265
