Total time (s);Total recompute time (ms);Amount of recomputes;Path length;Expanded nodes
0,0839349;70,7148;31;346;36108
0,3361954;325,0591;43;480;116680
0,4927475;473,9989;66;732;179719
0,1922374;180,6399;38;428;74037
0,1294386;105,8604;33;366;48431
0,0476664;39,1806;26;298;21479
0,4788301;474,5712;67;744;171291
0,1632201;151,2161;42;472;59615
0,3710389;330,0612;39;440;123987
0,183083;167,2798;29;328;73458
0,0850257;77,9581;31;346;29611
0,1187977;111,5603;29;328;39093
0,2312456;218,3332;32;360;81764
0,5023807;492,2909;66;734;173999
0,1088326;86,516;32;364;38923
0,269017;224,2014;31;350;94331
0,1172892;109,3966;30;336;42679
0,446541;435,952;66;738;176250
0,0536861;43,6621;22;252;23234
0,3216257;302,3876;39;436;101851
0,2010486;193,1879;44;488;75693
0,4530905;436,0804;49;544;165110
0,3076146;298,2134;40;444;106780
0,19996;186,7177;37;410;74010
0,1814358;170,9762;36;398;67618
0,211013;189,6748;34;380;79220
0,1515341;118,1904;39;434;52385
0,3177904;287,0818;43;482;108816
0,3219627;314,2798;51;570;118226
0,4084595;394,4103;51;572;142323
0,2774473;268,7108;43;482;100049
0,0616366;47,8211;25;284;25582
0,4058862;390,1146;46;510;144295
0,1275801;112,6639;31;350;50467
0,0863251;69,7731;28;310;31859
0,1789905;163,9562;28;316;65864
0,1889052;177,7592;34;378;75010
0,0649656;53,2843;25;278;19363
0,2108204;197,3463;35;392;78679
0,1589163;151,5387;42;470;63658
0,1350288;120,1139;33;372;47575
0,0721648;62,5683;26;294;27497
0,2317918;223,9004;41;460;85493
0,1301274;111,3733;35;394;47242
0,2727851;263,4043;43;482;98497
0,7908625;776,2664;69;762;300567
0,1110221;89,286;34;380;44471
0,1596045;145,1295;29;330;54228
0,5332853;526,6297;69;762;206048
0,1844069;177,8441;55;616;72349
0,078496;70,1713;28;318;28686
0,1070531;90,7299;26;294;39585
0,2471522;236,4092;36;400;91204
0,330124;317,9242;47;520;120151
0,5327673;517,7967;55;618;198342
0,0680972;58,0093;27;306;25161
0,1586663;150,7986;32;358;51132
0,0725511;49,1496;25;284;27886
0,146851;139,6429;42;472;50612
0,2454739;239,7244;33;368;83624
0,0961936;77,56;23;260;33568
0,3262887;317,8165;39;438;118606
0,2834312;272,3612;39;438;106069
0,163593;152,0721;36;408;61489
0,2090167;194,5712;38;426;80897
0,3123625;301,8016;41;464;105037
0,0350995;25,8593;24;272;14598
0,0218499;14,8867;22;252;9562
0,2308997;212,6787;37;418;83048
0,2285269;223,5357;53;594;85678
0,1819934;169,2032;34;382;72102
0,0775519;66,5933;24;268;31647
0,351579;347,7634;47;530;130001
0,1415206;124,2571;27;304;53037
0,0655227;56,4812;29;330;23478
0,1516567;145,6428;30;336;56619
0,072882;47,3694;26;292;23992
0,3763799;368,6807;54;598;122218
0,1155049;101,9037;27;310;47187
0,2882146;279,5911;38;424;102432
0,149008;133,3194;39;436;54055
0,0885828;72,526;27;304;34372
0,1517478;125,1131;29;326;55372
0,0232585;16,0915;22;252;10545
0,1960373;177,2263;49;542;66552
0,054908;45,439;24;270;25011
0,3039952;294,2488;44;494;102624
0,0561363;43,841;22;252;20413
0,1917748;181,131;35;398;65209
0,2823013;268,2473;44;494;101305
0,5321158;526,8317;59;656;194619
0,0707496;62,9694;22;252;29923
0,1368118;127,5165;28;312;47505
0,2293244;216,1953;39;438;79755
0,2976943;283,5352;41;460;116330
0,0911325;86,4841;30;342;33980
0,1860244;164,9283;28;318;68211
0,0975412;86,4405;34;384;37703
0,1336367;125,7238;36;410;41167
0,2024525;193,7673;45;502;71130
