Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,0633822;49,718;31;1,6038064516129034;344;28989
0,0289895;17,1931;23;0,7475260869565218;266;9277
0,028193;19,8848;28;0,7101714285714286;320;14014
0,040359;28,9532;28;1,034042857142857;316;17410
0,0297177;22,4997;24;0,9374875;270;15350
0,0217321;7,9307;22;0,3604863636363636;252;11761
0,0743943;66,294;31;2,138516129032258;348;30400
0,0804362;71,0262;41;1,7323463414634146;464;35220
0,0570956;45,3826;31;1,4639548387096772;348;22863
0,1031555;85,8169;34;2,5240264705882356;380;46264
0,0197586;8,9725;22;0,4078409090909091;254;9039
0,0686205;55,1282;29;1,9009724137931034;328;28233
0,1405605;125,162;31;4,037483870967742;350;60995
0,0282538;19,8002;22;0,9000090909090909;252;12247
0,035148;20,3622;22;0,9255545454545455;252;16805
0,0273874;13,4321;23;0,584004347826087;262;12540
0,0487586;29,5869;28;1,056675;316;24272
0,0098397;5,7061;22;0,25936818181818183;252;4764
0,1042773;97,4387;42;2,3199690476190478;468;43195
0,0701347;48,1606;27;1,783725925925926;304;30467
0,0210195;15,9047;26;0,6117192307692307;296;10799
0,0380168;25,4716;31;0,8216645161290322;346;16558
0,0353263;26,8882;27;0,9958592592592593;300;16971
0,0147364;8,3289;23;0,36212608695652176;260;7857
0,0319779;19,7149;22;0,8961318181818182;252;15116
0,0386853;20,7566;22;0,9434818181818181;252;18820
0,0323186;17,7567;24;0,7398625;270;14601
0,024056;15,9951;22;0,7270500000000001;252;10991
0,0643372;55,5184;28;1,9828;314;28938
0,0156834;4,2138;22;0,19153636363636364;252;7956
0,0606704;48,254;29;1,6639310344827585;324;26526
0,0354492;28,1795;25;1,12718;284;15661
0,0382881;26,8103;28;0,9575107142857143;316;18009
0,039874;32,287;22;1,467590909090909;252;17679
0,0408288;29,3806;23;1,2774173913043478;260;18910
0,0640602;46,8595;33;1,4199848484848483;376;25634
0,0968586;77,6111;32;2,425346875;356;43576
0,0312117;21,0569;25;0,8422759999999999;284;14883
0,0561651;42,0763;33;1,275039393939394;372;24035
0,01136;4,0327;22;0,18330454545454547;252;6117
0,0512403;37,1418;26;1,4285307692307694;292;24710
0,0385575;30,6003;31;0,9871064516129032;348;19409
0,0891953;81,8751;37;2,2128405405405407;416;38507
0,0300233;16,4742;22;0,7488272727272727;252;12535
0,0195112;11,5507;27;0,42780370370370374;308;9480
0,0641046;59,0045;32;1,843890625;356;27283
0,0154993;7,8632;26;0,3024307692307692;288;8423
0,0464266;35,4191;27;1,3118185185185185;302;19706
0,0482793;38,8018;25;1,552072;288;21031
0,0245873;16,6412;25;0,665648;286;12966
0,0705763;66,2105;30;2,2070166666666666;336;29764
0,0925641;72,2129;32;2,256653125;360;39270
0,0606894;50,0274;25;2,001096;286;24966
0,0351165;25,1337;25;1,0053480000000001;284;17688
0,0646736;54,0808;35;1,5451657142857145;396;27573
0,0137072;7,786;25;0,31144;284;7345
0,0231497;10,2679;28;0,3667107142857143;316;10426
0,0429279;33,3683;23;1,450795652173913;262;19166
0,0792599;66,9855;28;2,392339285714286;316;32841
0,0201681;10,0187;22;0,4553954545454546;252;9473
0,0137072;4,0001;23;0,17391739130434783;262;7744
0,0179586;12,0747;22;0,54885;252;8564
0,0459013;38,8132;29;1,3383862068965517;322;19992
0,0613295;50,5786;25;2,0231440000000003;278;27852
0,0339894;28,7758;27;1,0657703703703705;308;15942
0,0122863;3,8238;22;0,1738090909090909;252;6427
0,0927511;79,3511;38;2,088186842105263;424;40797
0,0512101;38,5534;30;1,2851133333333336;340;22948
0,0359163;27,3074;23;1,1872782608695653;262;15953
0,1400487;135,037;46;2,9355869565217394;512;62813
0,023236;10,7899;22;0,49045;252;10835
0,0376893;30,1196;24;1,2549833333333333;270;19130
0,040774;29,1099;26;1,1196115384615384;292;18250
0,1000507;90,3718;35;2,5820514285714284;390;42244
0,1238278;113,1823;32;3,536946875;362;55224
0,043842;38,3941;31;1,2385193548387097;346;22185
0,1137901;103,5155;40;2,5878875;448;49302
0,0791336;73,2242;31;2,362070967741935;350;32975
0,0314972;27,0919;34;0,7968205882352941;380;13715
0,0459945;36,0292;30;1,2009733333333334;338;19140
0,0652168;60,3901;34;1,7761794117647058;386;25209
0,1884222;176,2473;53;3,325420754716981;596;76315
0,0539019;48,4994;26;1,8653615384615385;296;24596
0,0509729;45,3292;36;1,2591444444444444;400;25489
0,0410251;34,3756;25;1,375024;286;17796
0,071566;59,5035;28;2,125125;316;32576
0,0144826;8,0924;22;0,36783636363636363;252;7271
0,0622781;55,3771;35;1,582202857142857;396;25220
0,0666967;57,3021;35;1,6372028571428572;398;29246
0,0328115;23,2774;30;0,7759133333333333;336;17826
0,0129957;2,7864;22;0,12665454545454546;252;7510
0,0243125;15,644;30;0,5214666666666666;334;11341
0,053518;35,5692;25;1,422768;284;23526
0,0392751;23,4988;22;1,0681272727272726;252;19616
0,0185621;8,391;22;0,3814090909090909;252;8824
0,0883383;77,6218;35;2,217765714285714;394;37303
0,0183151;13,694;31;0,441741935483871;350;9573
0,1152503;103,7921;36;2,883113888888889;406;45571
0,0904196;82,6926;43;1,9230837209302325;478;39125
0,032556;15,1501;28;0,541075;316;16632
