Total time;Compute time;Path length;Expanded nodes
0,0755994;0,0751374;508;29486
0,1550606;0,1549006;536;64441
0,0937681;0,093575;572;37821
0,1943565;0,1941349;522;55880
0,1908194;0,1905843;540;60202
0,3633382;0,3631379;568;113339
0,1541497;0,1539842;554;63898
0,0628307;0,0626872;508;24826
0,2140217;0,2138786;604;78723
0,2006382;0,2004553;542;71224
0,0940912;0,0939161;526;42332
0,1038242;0,1036208;540;42296
0,1535814;0,1534518;508;64728
0,090547;0,0904114;508;40800
0,0683378;0,0681768;508;32561
0,3113293;0,311174;614;127225
0,1212919;0,1211715;550;52233
0,1640466;0,1637241;540;69883
0,3509636;0,3507761;714;135437
0,337659;0,3374782;568;123477
0,106469;0,1063323;518;44610
0,1247884;0,124668;532;55730
0,0638497;0,0637044;514;27215
0,0978922;0,0977243;540;42899
0,2066919;0,2065545;536;80903
0,1117938;0,1116572;540;47391
0,1302907;0,130145;550;58549
0,1814618;0,1813467;514;74567
0,1086859;0,1085716;514;55118
0,1585881;0,1584203;540;66444
0,2593901;0,2592469;540;100452
0,0784238;0,0782654;508;37111
0,1183425;0,1182146;586;50043
0,306219;0,3060086;616;115922
0,2555489;0,2554072;572;106516
0,1434291;0,1432839;508;62257
0,1894987;0,1893783;540;80857
0,2365378;0,2363488;602;103233
0,1403802;0,140258;522;58127
0,1904514;0,1903506;540;89456
0,1427974;0,1426826;546;65294
0,761304;0,7611017;750;285885
0,3445195;0,3443083;554;129932
0,5031588;0,5029303;544;160052
0,0915915;0,0913885;508;34495
0,0821026;0,0819496;508;33970
0,1870443;0,1868033;530;79611
0,1520877;0,1223335;568;43762
0,0482134;0,0479653;508;20204
0,215167;0,2150044;508;68356
0,0807436;0,0805366;508;31886
0,0531548;0,0529722;508;21913
0,1095591;0,1093934;536;43158
0,0602981;0,0601597;508;24857
0,1245;0,12436;508;55608
0,1335885;0,1334575;530;60090
0,1886586;0,1885301;508;70087
0,0994086;0,0992932;568;45772
0,1319811;0,1318233;572;59279
0,2167764;0,216562;572;82092
0,1489218;0,1487955;540;60795
0,2780857;0,2779236;600;125085
0,2234308;0,2232549;674;80120
0,0933269;0,0931878;540;41830
0,2543777;0,2541963;596;109255
0,1601841;0,1600079;508;64558
0,1774932;0,1772229;550;52082
0,1117888;0,1116098;530;47296
0,0769218;0,0767785;508;35886
0,1964988;0,1961998;508;68711
0,1540951;0,1539879;522;57424
0,285273;0,2851345;540;116772
0,1722437;0,1720897;520;71452
0,281319;0,2811607;694;116983
0,1207456;0,1206036;536;50933
0,231457;0,2313383;568;93455
0,1719005;0,1717269;590;61898
0,2398343;0,239671;582;100958
0,221566;0,2213847;632;98874
0,1281269;0,1279671;540;59096
0,1443698;0,1442367;558;57859
0,2435157;0,2433792;540;102062
0,1915583;0,1914058;578;86415
0,1106965;0,1105602;540;44563
0,1568391;0,1566853;508;66445
0,2759379;0,2758116;522;113592
0,1341249;0,1339856;540;64278
0,2227814;0,222648;540;96749
0,3431649;0,3429769;622;132684
0,1557823;0,1556258;572;67496
0,2979644;0,2977324;594;126241
0,0688972;0,068742;536;32328
0,3841729;0,3839977;690;148166
0,19842;0,1983097;572;85777
0,1472666;0,147086;510;60842
0,2097537;0,2096109;586;92896
0,2156535;0,2154511;540;91411
0,0735838;0,0734093;522;29588
0,1202834;0,1200668;508;42605
0,077115;0,0769847;522;35441
