Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,019351;5,8952;23;0,2563130434782609;254;8025
0,0181082;5,6456;23;0,2454608695652174;254;8292
0,0294879;6,8829;23;0,2992565217391304;258;8986
0,016507;4,5616;22;0,20734545454545456;254;7950
0,0168543;4,8675;22;0,22124999999999997;254;8161
0,0187567;4,9981;23;0,21730869565217392;254;8128
0,0182272;5,8344;23;0,2536695652173913;254;8281
0,0187016;6,7191;23;0,29213478260869563;258;9184
0,0165622;4,3878;23;0,19077391304347827;254;7836
0,0168264;4,6377;22;0,21080454545454544;254;8255
0,0180615;6,4439;23;0,28016956521739134;254;7781
0,0181133;5,3441;23;0,23235217391304347;254;8212
0,0202891;8,4167;23;0,3659434782608696;260;9657
0,0177419;5,6282;23;0,24470434782608694;254;8350
0,0210786;9,0416;23;0,3931130434782609;258;9682
0,0206776;8,6215;23;0,3748478260869565;254;8496
0,0164156;4,2593;23;0,1851869565217391;254;7819
0,0169511;4,9511;22;0,22505;254;8246
0,0167527;4,7486;23;0,2064608695652174;254;7930
0,0174066;5,3746;22;0,2443;254;8232
0,0176823;5,9445;22;0,2702045454545454;254;8239
0,0191815;6,3941;23;0,27800434782608696;260;8532
0,0165936;4,3049;22;0,19567727272727273;254;7865
0,016886;4,8393;23;0,21040434782608694;254;8136
0,0294498;5,5302;22;0,25137272727272725;254;8243
0,0172787;5,0825;22;0,23102272727272724;254;8189
0,0198085;5,5511;23;0,24135217391304348;254;8038
0,0169259;4,5519;22;0,20690454545454545;254;7988
0,0164148;3,8508;23;0,16742608695652175;254;8067
0,0170304;5,1216;23;0,22267826086956521;254;8359
0,0168508;5,2388;23;0,22777391304347827;254;8217
0,0200847;8,1808;22;0,37185454545454544;254;8274
0,0168361;4,7074;22;0,21397272727272726;254;8383
0,0165897;5,0462;23;0,21939999999999998;254;8001
0,0190401;4,2913;23;0,1865782608695652;254;7910
0,0169917;4,7921;23;0,20835217391304345;254;7979
0,0166776;4,8893;22;0,2222409090909091;254;8047
0,0194916;5,3007;23;0,23046521739130435;254;8099
0,0174309;5,5367;23;0,24072608695652173;254;8225
0,0170842;5,0142;23;0,2180086956521739;254;8109
0,0219374;9,7023;23;0,42183913043478255;254;8423
0,0162883;4,6878;22;0,21308181818181818;254;7952
0,0193086;4,9767;23;0,21637826086956521;254;8204
0,0164889;4,8965;23;0,21289130434782608;254;8114
0,0166873;5,0237;22;0,22835;254;8328
0,0166739;4,862;22;0,221;254;8228
0,0162334;4,3752;23;0,19022608695652177;254;8180
0,0167096;5,0887;23;0,22124782608695653;254;7976
0,017175;5,266;23;0,22895652173913045;254;8257
0,0164236;4,938;23;0,21469565217391304;254;8144
0,0187189;4,806;23;0,20895652173913043;254;8239
0,0168727;5,1855;22;0,23570454545454547;254;8323
0,0175484;5,6425;23;0,24532608695652175;254;8204
0,0163985;4,6969;22;0,21349545454545457;254;8086
0,0172397;5,4471;22;0,24759545454545454;254;8488
0,0191939;4,9043;22;0,22292272727272727;254;8191
0,0161957;4,6233;23;0,20101304347826088;254;7978
0,0167816;5,2374;23;0,22771304347826088;254;8037
0,0167143;5,0411;23;0,2191782608695652;254;8062
