Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,2309215;20,3631;32;0,636346875;356;32734
0,1545615;21,588;46;0,469304347826087;514;29375
0,2766766;25,7891;44;0,5861159090909092;490;51259
0,2041242;19,6824;37;0,5319567567567568;418;36745
0,0905808;17,5523;26;0,6750884615384615;298;14855
0,1720826;19,2139;33;0,582239393939394;374;32047
0,0782885;8,5546;28;0,3055214285714286;314;12742
0,2622933;33,1891;60;0,5531516666666667;664;46980
0,1175803;15,2032;31;0,49042580645161293;348;21548
0,0830945;16,5306;27;0,6122444444444445;304;13914
0,1265952;15,7833;31;0,5091387096774194;350;22681
0,0560536;8,3934;22;0,3815181818181818;252;10587
0,2122599;19,8454;39;0,5088564102564103;436;37025
0,1055664;16,4301;32;0,513440625;356;18499
0,0741198;9,1529;26;0,3520346153846154;294;13406
0,0966915;13,19;28;0,47107142857142853;316;15433
0,2372815;30,1013;54;0,5574314814814815;600;47535
0,1607136;17,4228;35;0,4977942857142857;390;27115
0,2719295;34,4305;41;0,8397682926829269;464;49681
0,1353675;14,0109;31;0,45196451612903227;344;25032
0,1006373;15,5482;26;0,5980076923076922;292;17289
0,0721648;10,6844;24;0,4451833333333333;268;12513
0,1094314;11,6769;23;0,5076913043478261;264;18226
0,1035645;15,5898;25;0,623592;284;15630
0,1564649;18,0598;32;0,56436875;358;28298
0,0796474;9,8679;23;0,42903913043478265;266;14121
0,1374701;14,2289;29;0,490651724137931;326;21319
0,0936135;14,0456;22;0,6384363636363637;252;15203
0,085869;12,359;27;0,4577407407407407;308;16216
0,1027376;12,0888;25;0,48355200000000004;288;18127
0,1491464;22,2405;31;0,7174354838709678;348;26262
0,0763786;15,3474;27;0,5684222222222223;308;12605
0,168109;32,3629;35;0,9246542857142858;396;28879
0,0522766;11,4466;22;0,5203;252;9148
0,2458588;33,1793;59;0,5623610169491525;652;47563
0,2213196;24,2635;41;0,5917926829268293;456;40813
0,1009198;12,11;24;0,5045833333333333;276;17943
0,0972922;12,8966;29;0,4447103448275862;330;16527
0,1310772;13,3308;30;0,44436;344;22450
0,0684656;10,1186;23;0,43993913043478267;260;12367
0,1992405;24,6101;39;0,6310282051282051;436;35304
0,0730005;10,0845;27;0,3735;302;11673
0,0888705;8,3335;25;0,33334;286;14208
0,1246532;12,0079;24;0,5003291666666666;268;18598
0,0869812;9,0104;22;0,4095636363636364;252;13308
0,1171534;11,3558;24;0,47315833333333335;266;18959
0,1430535;16,9231;33;0,5128212121212121;374;25651
0,1007743;11,3014;29;0,38970344827586206;324;18164
0,130399;16,7999;39;0,4307666666666667;440;24731
0,2294991;22,7575;39;0,5835256410256411;434;41600
0,1806059;24,7996;37;0,6702594594594595;420;33131
0,4494379;47,2616;70;0,6751657142857143;778;86460
0,11089;13,91;29;0,47965517241379313;328;22340
0,0581716;7,2428;22;0,3292181818181818;252;10165
0,0687215;8,3631;22;0,3801409090909091;252;11792
0,1454553;16,9274;34;0,4978647058823529;376;24027
0,3419074;39,8125;61;0,6526639344262295;686;63004
0,134483;13,9278;27;0,5158444444444444;306;24594
0,0658536;7,1874;22;0,3267;252;11921
0,2287533;23,2657;40;0,5816425;450;42464
0,1971414;19,1573;37;0,5177648648648648;410;35336
0,1037386;11,056;26;0,4252307692307692;292;18437
0,0301707;4,61;22;0,20954545454545456;252;5762
0,1583611;22,0254;32;0,68829375;360;29636
0,2437187;31,0107;58;0,5346672413793103;648;46257
0,1806122;22,3256;37;0,6033945945945947;414;34200
0,1739938;20,8941;36;0,5803916666666668;400;31226
0,20419;24,5351;47;0,5220234042553191;530;38622
0,0541674;7,1632;22;0,3256;252;8963
0,1383476;13,7167;26;0,5275653846153846;296;23298
0,1498004;18,3095;35;0,5231285714285714;396;25565
0,1557532;16,394;30;0,5464666666666667;336;27682
0,0635882;8,4968;22;0,38621818181818185;252;11259
0,2402409;24,9434;38;0,6564052631578947;426;42458
0,1984675;24,2261;42;0,5768119047619047;472;38266
0,345693;33,984;50;0,6796800000000001;562;63237
0,1208307;20,9848;26;0,8071076923076923;290;20460
0,1234259;14,2627;24;0,5942791666666667;274;21836
0,0862591;9,1895;26;0,3534423076923077;288;15554
0,1106387;12,9024;30;0,43008;338;21099
0,2221721;22,3195;44;0,5072613636363636;488;42825
0,1709734;16,4902;29;0,5686275862068966;324;30048
0,1440295;12,3576;31;0,39863225806451613;350;21993
0,2466526;28,4617;50;0,569234;564;44201
0,1195187;23,3623;30;0,7787433333333333;336;20557
0,2290114;24,2868;47;0,5167404255319149;530;42667
0,0906367;12,2535;25;0,49014;278;15576
0,1163603;11,4748;29;0,39568275862068963;322;19926
0,1258967;18,2966;30;0,6098866666666667;342;24781
0,1009797;13,9754;33;0,4234969696969697;374;17188
0,160626;18,2581;31;0,5889709677419355;350;27234
0,1822862;20,1539;38;0,5303657894736842;422;34293
0,3831264;37,4796;60;0,62466;670;71487
0,073944;7,6525;22;0,3478409090909091;252;11716
0,1498861;15,238;31;0,4915483870967742;346;25513
0,2032632;21,3668;39;0,5478666666666667;436;37856
0,2334716;28,955;49;0,5909183673469387;548;45215
0,061773;7,0392;25;0,281568;284;9769
0,0903357;13,5919;26;0,5227653846153847;290;16603
0,1342287;18,3453;36;0,5095916666666667;402;19154
