Total time (s);Total recompute time (ms);Amount of recomputes;Path length;Expanded nodes
0,6377418;32,3232;42;892;91155
0,7172976;35,0793;36;758;76939
1,1619828;61,7505;74;1570;194795
0,5130122;30,8119;42;888;84056
0,6145605;31,1025;41;876;96320
0,4324939;22,5243;30;634;62706
0,5952047;29,873;43;912;98160
0,4007644;22,9006;31;662;65356
0,289136;26,1643;28;598;38670
0,5610302;52,7842;44;934;95870
0,2813757;17,2731;27;582;38708
0,9380741;51,7547;66;1402;153226
0,5152912;29,9153;41;870;82141
1,0263243;57,2103;67;1430;171303
0,3195987;17,2927;26;550;47650
1,0022552;50,532;60;1270;167506
0,4329579;26,4799;34;730;65944
1,0372623;56,4003;70;1484;175166
0,9843155;53,1785;63;1330;165357
0,4565134;20,9919;32;686;69972
0,7808344;61,3865;60;1272;133470
0,4292476;22,5408;34;728;69005
0,3917072;20,3855;30;642;62674
0,4596738;47,9193;33;702;67101
0,7022685;42,0697;46;988;114075
0,398573;20,8555;30;652;50592
0,3638874;22,3823;30;638;48956
0,3397271;19,1552;29;620;46172
0,5144227;27,2815;39;822;82677
0,7351424;65,1758;51;1080;118804
0,6210654;35,1991;45;956;95871
1,2874308;96,0102;88;1854;225201
0,5065093;25,1873;36;760;75706
0,4787403;29,2759;47;1004;80367
0,9438969;53,2872;67;1410;165039
0,8194648;47,1065;52;1104;141072
0,6651365;35,6575;49;1042;110555
0,2877854;16,0996;27;570;44887
0,4503187;23,0464;36;760;75032
0,5078971;27,2756;37;788;79022
0,6742152;38,0897;49;1048;118901
0,2885112;28,1407;28;598;44076
0,5195146;29,5033;39;838;81406
0,5348363;27,99;36;760;85016
0,4906381;28,0668;42;904;87610
0,5206681;28,3194;37;798;83398
0,8424138;45,6573;56;1188;147806
0,6019237;29,9857;46;980;106387
0,5817547;27,7925;44;930;96695
0,3269874;19,9643;26;554;48326
0,6981105;46,049;48;1030;116148
1,3741654;76,2221;92;1950;247733
0,3721076;21,5619;34;718;62017
0,3860862;26,0858;34;724;60131
0,5307031;50,3054;45;952;91491
0,6392594;33,821;46;974;102282
0,3045848;39,2362;27;586;49932
0,3462867;19,4411;32;684;55405
0,6729849;47,3728;55;1180;117932
0,7451306;42,1016;48;1014;123902
0,7091903;38,2669;50;1066;121482
0,481257;24,0736;34;728;77736
0,8602522;51,1102;63;1328;149360
0,2660213;16,9252;27;576;40598
0,8994018;71,098;55;1170;148425
0,6286642;32,1931;44;932;105483
0,2675073;14,5411;27;570;40654
0,3178042;17,641;28;592;47262
0,4115635;23,0443;34;720;62167
0,5581735;34,0878;49;1042;97782
0,4229348;23,9624;34;716;69224
0,6440789;35,4927;51;1076;109336
0,1391205;10,5704;24;508;21678
0,5860199;29,7711;42;890;95151
0,3154003;16,0356;32;678;50073
0,4261564;22,7999;35;754;70418
0,1750252;13,2998;27;580;29292
0,2187411;13,6722;24;522;31217
0,2859609;31,199;25;544;43520
0,3350338;18,8176;32;690;50436
0,3717356;23,6657;34;730;58285
0,6004057;29,2913;45;954;100573
0,7196038;38,1683;55;1158;125951
0,3633833;21,8966;30;654;57488
0,5459258;34,5185;44;946;93644
0,6074402;47,7188;56;1194;100099
1,0271957;60,2656;76;1606;185984
0,4173582;23,1577;33;708;68670
0,3196327;34,574;31;662;51846
0,7210194;42,0561;50;1060;128258
0,6601759;35,2644;51;1088;112433
0,3669087;17,4756;30;632;53350
0,4636644;25,3802;35;742;73904
0,3905732;20,951;30;642;60812
0,5879856;52,5281;46;986;102470
0,3020753;18,9575;31;660;47146
0,6511155;33,5477;45;952;110573
0,4777784;24,7585;37;784;77587
0,3834372;19,8245;33;706;58915
0,5557745;29,2943;38;808;93848
