Total time (s);Total recompute time (ms);Amount of recomputes;Average recompute time (ms);Path length;Expanded nodes
=AVERAGE(A4:A103);=AVERAGE(B4:B103);=AVERAGE(C4:C103);=AVERAGE(D4:D103);=AVERAGE(E4:E103);=AVERAGE(F4:F103)
---------------------------------------------------------------------------------------------
0,0801203;22,2539;24;0,9272458333333334;274;6709
0,0553108;27,3601;23;1,1895695652173912;254;4954
0,0472551;13,4448;23;0,5845565217391304;254;5419
0,0514145;12,7584;23;0,5547130434782609;254;5787
0,0463001;12,9733;23;0,5640565217391305;260;5643
0,0452219;12,874;23;0,5597391304347826;258;4969
0,044534;13,7296;23;0,5969391304347826;260;5389
0,0439132;12,0036;22;0,5456181818181819;254;4973
0,0409842;12,0846;23;0,5254173913043478;254;4681
0,0471007;12,339;23;0,5364782608695652;254;4790
0,057398;28,4592;23;1,2373565217391305;256;4780
0,048814;15,9403;23;0,6930565217391305;254;4798
0,0400664;10,7471;23;0,46726521739130433;256;5165
0,0464193;11,857;23;0,5155217391304348;262;5821
0,0358212;9,9818;23;0,43399130434782607;254;4852
0,0435033;12,4099;23;0,5395608695652174;260;5584
0,0370682;10,8164;23;0,4702782608695652;254;5095
0,0559883;10,7686;23;0,46819999999999995;256;5920
0,0455448;13,6502;24;0,5687583333333334;272;6321
0,0343536;9,9379;23;0,43208260869565224;254;4845
0,0379423;10,3634;22;0,4710636363636364;254;5307
0,0378736;10,3255;23;0,4489347826086956;258;5479
0,0429164;11,5113;24;0,4796375;270;5707
0,0371104;11,2069;23;0,4872565217391304;254;5185
0,0382212;11,2385;23;0,4886304347826087;254;4976
0,0352576;10,7467;22;0,48848636363636366;254;4858
0,0403359;11,6444;23;0,5062782608695652;262;5596
0,0396734;10,7659;23;0,46808260869565216;262;5780
0,036426;9,7939;23;0,4258217391304348;260;5383
0,0352615;9,4487;22;0,42948636363636367;254;4933
0,0374257;10,3115;24;0,42964583333333334;270;5753
0,035821;9,7513;22;0,44324090909090913;254;4875
0,0346979;10,0549;23;0,4371695652173913;254;5264
0,038422;9,6003;23;0,417404347826087;260;5620
0,0392008;12,2631;23;0,5331782608695652;256;5285
0,0317145;8,3871;22;0,38123181818181817;254;4855
0,0366781;11,1612;23;0,4852695652173913;254;5100
0,0375875;10,1171;23;0,4398739130434783;254;5112
0,0356417;10,0669;23;0,4376913043478261;258;5391
0,0343248;9,2249;23;0,40108260869565215;254;4799
0,0338733;9,6391;23;0,41909130434782604;254;4789
0,034157;9,5408;23;0,41481739130434786;260;5202
0,0366469;11,2726;23;0,4901130434782609;254;5333
0,0396618;11,2037;23;0,4871173913043478;260;5533
0,0364253;11,8711;23;0,5161347826086956;254;5056
0,0348489;10,0508;23;0,4369913043478261;254;5009
0,0335306;10,4023;23;0,45227391304347825;254;4782
0,033675;9,9994;22;0,4545181818181818;254;5005
0,0450853;12,1128;24;0,5047;270;6149
0,038834;10,7355;23;0,4667608695652174;260;5844
0,0376675;11,3103;23;0,4917521739130435;262;5639
0,0471969;10,3814;23;0,4513652173913043;264;6690
0,0309514;9,1064;23;0,39593043478260875;254;4688
0,0439279;9,6976;24;0,40406666666666663;268;6401
0,0331443;8,5126;23;0,3701130434782609;256;4956
0,0338035;9,0599;23;0,39390869565217396;254;4727
0,0304218;8,8433;22;0,4019681818181818;254;4755
0,0357957;9,9192;23;0,4312695652173913;254;4837
0,0329881;9,705;23;0,42195652173913045;256;4946
