Total time;Compute time;Path length;Memory usage
0,0881671;0,0875854;508;47009792
0,1796429;0,1794342;536;67358720
0,1412694;0,1410116;572;62214144
0,150276;0,1500678;522;66498560
0,1419824;0,1418456;540;63119360
0,3218723;0,3217354;568;68554752
0,149914;0,1497819;554;69427200
0,0634038;0,063284;508;70316032
0,2135959;0,2134517;604;68214784
0,1976311;0,1975074;542;75530240
0,0840066;0,0839002;526;66027520
0,0981238;0,0979931;540;68276224
0,1543282;0,1542075;508;66166784
0,0906654;0,0905525;508;68341760
0,0723412;0,0722258;508;65396736
0,3279588;0,3278177;614;67538944
0,119198;0,1190892;550;65495040
0,1607103;0,1567046;540;69545984
0,3627014;0,3625367;714;71622656
0,351798;0,3516414;568;67903488
0,0942908;0,0941535;518;70434816
0,1173802;0,1172448;532;67682304
0,0732686;0,0731215;514;68714496
0,1072567;0,107115;540;70508544
0,2036291;0,2034945;536;68358144
0,1116607;0,1115318;540;69353472
0,1271622;0,1270489;550;68341760
0,2079484;0,2078243;514;70172672
0,1285154;0,1283688;514;67805184
0,1844086;0,1842516;540;70168576
0,2569733;0,2568362;540;73183232
0,0846632;0,0845412;508;70103040
0,1285556;0,1284061;586;68292608
0,3184396;0,3183016;616;68448256
0,2597064;0,2595674;572;73101312
0,1409367;0,1407726;508;70107136
0,2126504;0,2125128;540;68100096
0,2397275;0,2395208;602;74989568
0,1410389;0,1409337;522;68079616
0,2092739;0,209149;540;69922816
0,1439572;0,1438081;546;70504448
0,7571159;0,7569391;750;73117696
0,3315255;0,3311251;554;73109504
0,4521009;0,4519938;544;67256320
0,0878409;0,087706;508;65523712
0,0869582;0,086826;508;69550080
0,1780404;0,1779117;530;66277376
0,1058457;0,1057346;568;68456448
0,0432309;0,043098;508;65527808
0,1716043;0,1714836;508;69275648
0,076186;0,0760589;508;65466368
0,0566512;0,0565372;508;68427776
0,0945946;0,094471;536;66379776
0,0579151;0,057782;508;69005312
0,1215305;0,1214227;508;65884160
0,131103;0,1309813;530;69271552
0,1836769;0,1835552;508;67162112
0,092847;0,0927104;568;69029888
0,1335523;0,1333979;572;66265088
0,2140517;0,2139187;572;69275648
0,1418784;0,1417375;540;70934528
0,3005462;0,3003873;600;65744896
0,2074298;0,2072784;674;73895936
0,0961378;0,0960239;540;71065600
0,2671514;0,2669796;596;68104192
0,1489713;0,1488354;508;71602176
0,1200858;0,1198938;550;68153344
0,1043466;0,1042128;530;69152768
0,0729819;0,072836;508;67342336
0,1717951;0,1712921;508;69963776
0,1460064;0,1459003;522;68149248
0,3002751;0,3001488;540;68329472
0,176829;0,1766907;520;71098368
0,2903934;0,2902526;694;75091968
0,1180995;0,1179711;536;68132864
0,2345768;0,2344545;568;69967872
0,1421057;0,1419749;590;68153344
0,2358411;0,2357185;582;69988352
0,2196302;0,219474;632;73244672
0,1245657;0,1244412;540;69967872
0,1430948;0,1429736;558;68153344
0,2523922;0,2522724;540;69980160
0,2116864;0,2115477;578;66486272
0,1130575;0,1129255;540;69001216
0,1547604;0,1546327;508;66355200
0,2955274;0,2954158;522;74526720
0,1433518;0,1432458;540;66330624
0,2357286;0,2356153;540;69349376
0,3109406;0,3107892;622;63746048
0,1486711;0,148526;572;69189632
0,3269246;0,3267626;594;64765952
0,0668498;0,0667243;536;68521984
0,4147704;0,4146198;690;64438272
0,2039078;0,2038105;572;74731520
0,1418765;0,1417655;510;66342912
0,2253915;0,225254;586;69361664
0,2169212;0,2167743;540;72269824
0,0633442;0,0632377;522;69894144
0,1014106;0,1012774;508;65605632
0,0810174;0,0808881;522;68526080
