Total time;Compute time;Path length;Memory usage
0,3014221;0,3008701;560;52731904
0,3315656;0,3313536;560;72028160
0,6074172;0,6072162;660;63733760
0,2669234;0,2667663;624;76378112
0,347863;0,3477233;578;71577600
0,5539807;0,5537819;588;67657728
0,2339488;0,2337874;592;70316032
0,3875677;0,3873458;600;68816896
0,4320521;0,4318662;626;76103680
0,3073935;0,3072383;598;74510336
0,2618956;0,2617224;572;69885952
0,3885159;0,3883546;594;74661888
0,3501457;0,3499987;526;68202496
0,340843;0,3406895;588;74964992
0,2574901;0,2573123;560;74727424
0,3919772;0,3918213;542;68141056
0,288749;0,2886129;622;74653696
0,2878425;0,2876985;550;68108288
0,3537102;0,3535599;540;74940416
0,3528741;0,3527461;600;68071424
0,5875867;0,5874136;806;72974336
0,4649182;0,4647889;568;73826304
0,2757391;0,2753958;588;74678272
0,409812;0,409643;580;68116480
0,2595869;0,2593491;522;74768384
0,401102;0,400919;668;67088384
0,2943141;0,2941813;554;74838016
0,4147038;0,4145265;672;73568256
0,2000054;0,1998748;540;74551296
0,4111553;0,4109794;678;74334208
0,3314799;0,3313173;546;74846208
0,4130378;0,4129031;614;73969664
0,3406918;0,3405631;596;74600448
0,2090107;0,2088649;534;69836800
0,226324;0,2261976;540;74641408
0,4402827;0,440156;632;67022848
0,2146787;0,2145382;526;74416128
0,149929;0,1497845;508;71299072
0,2206256;0,2204868;562;74711040
0,3385062;0,3383676;622;69582848
0,3004603;0,3003406;532;74706944
0,2563108;0,2561627;580;75780096
0,2320438;0,2319109;562;74543104
0,3092536;0,3091214;558;67866624
0,332349;0,3322191;666;74452992
0,2340778;0,2339546;508;69623808
0,5053287;0,5051723;626;75743232
0,3666509;0,366493;692;74211328
0,4090443;0,4088982;564;66826240
0,2640675;0,2639517;520;75812864
0,60014;0,6000018;650;73129984
0,3197548;0,3196291;540;74399744
0,2391187;0,2390064;508;74575872
0,4031811;0,4030482;580;66772992
0,3333946;0,3332802;550;74346496
0,3631883;0,3630822;528;67870720
0,22447;0,2243551;508;74616832
0,3269784;0,3268546;568;67858432
0,2793123;0,2791678;552;75673600
0,3787823;0,3786119;728;75046912
0,3157882;0,3156663;632;74514432
0,4358759;0,4357214;648;66920448
0,3314496;0,3313274;606;74477568
0,2101265;0,2099765;602;69685248
0,5229591;0,5228214;644;74981376
0,2439445;0,2438112;630;74522624
0,3714837;0,3713387;610;67928064
0,2766015;0,2764448;568;74678272
0,2618926;0,2617665;572;75481088
0,5551945;0,5550436;640;73244672
0,5156533;0,5155088;678;73478144
0,3119945;0,3118731;628;74539008
0,2577146;0,2575928;544;69689344
0,2494231;0,249291;640;74637312
0,4513816;0,4512531;612;66875392
0,2287986;0,2286545;620;74571776
0,2704297;0,2703123;578;67940352
0,3494267;0,3493055;508;74936320
0,3557647;0,35563;564;74760192
0,3860765;0,385916;584;68915200
0,3636571;0,3635033;588;75051008
0,2129144;0,2127979;546;74477568
0,2315497;0,2314127;564;69689344
0,4165492;0,4164265;518;74293248
0,4473807;0,4472561;596;73498624
0,4270507;0,4268891;638;73670656
0,4058968;0,4057597;576;73928704
0,3489216;0,3487932;530;74821632
0,3260574;0,3259202;546;75014144
0,5057988;0,5056607;682;78041088
0,3556988;0,3555719;592;74473472
0,3535864;0,3534317;592;67960832
0,2081831;0,2080534;516;74805248
0,337186;0,3370444;538;68042752
0,2303834;0,2302574;582;74563584
0,2582221;0,258101;600;69697536
0,2783606;0,2782322;560;74604544
0,2906105;0,2904683;596;74469376
0,2524307;0,2523022;604;69689344
0,2433146;0,243166;642;74461184
